Type,Content,Translation,Extra,cat,Translation2
personal,"What is the supreme law of the land?","本國的最高法律是什麼？","the Constitution","1","憲法"
personal,"What does the Constitution do?","憲法的作用是什麼？","sets up the government; defines the government; protects basic rights of Americans","2","建立政府體制；定義政府；保護美國人的基本權利"
personal,"The idea of self-government is in the first three words of the Constitution. What are these words?","憲法的前三個字說明自治的概念。這三個字是什麼？","We the People","3","我們人民"
personal,"What is an amendment?","什麼是修正案？","a change (to the Constitution); an addition (to the Constitution)","4","（憲法的）更正案；（憲法的）附加條款"
personal,"What do we call the first ten amendments to the Constitution?","憲法的前十條修正案稱為什麼？","the Bill of Rights","5","權利法案"
personal,"What is one right or freedom from the First Amendment?*","列舉憲法第一條修正案中的一項權利或自由？*","speech; religion; assembly; press; petition the government","6","言論自由；宗教自由；集會結社；出版自由；向政府請願的權利"
personal,"How many amendments does the Constitution have?","憲法共有幾條修正案？","twenty-seven (27)","7","二十七 (27) 條"
personal,"What did the Declaration of Independence do?","《獨立宣言》的作用是什麼？","announced our independence (from Great Britain); declared our independence (from Great Britain); said that the United States is free (from Great Britain)","8","宣佈美國脫離英國而獨立；聲明美國脫離英國而獨立；說明美國脫離英國而自由"
personal,"What are two rights in the Declaration of Independence?","《獨立宣言》中的兩項權利是什麼？","life; liberty; pursuit of happiness","9","生命（的權利）；自由（的權利）；追求幸福（的權利）"
personal,"What is freedom of religion?","什麼是宗教自由？","You can practice any religion, or not practice a religion.","10","你可以信仰任何宗教，也可以不信仰任何宗教。"
personal,"What is the economic system in the United States?*","美國的經濟體制是什麼？*","capitalist economy; market economy","11","資本主義經濟；市場經濟"
personal,"What is the ""rule of law""?","「法治」是什麼？","Everyone must follow the law; Leaders must obey the law; Government must obey the law; No one is above the law.","12","每個人都必須遵守法律；領導人必須遵守法律；政府必須遵守法律；沒有人高於法律之上。"
personal,"Name one branch or part of the government.*","列舉政府的一個分支或部門。*","Congress; legislative; President; executive; the courts; judicial","13","國會；立法部門；總統；行政部門；法院；司法部門"
personal,"What stops one branch of government from becoming too powerful?","什麼防止政府的一個分支變得過於強大？","checks and balances; separation of powers","14","制衡；權力分立"
personal,"Who is in charge of the executive branch?","誰負責行政部門？","the President","15","總統"
personal,"Who makes federal laws?","誰制定聯邦法律？","Congress; Senate and House (of Representatives); (U.S. or national) legislature","16","國會；參議院和眾議院；（美國或國家）立法機構"
personal,"What are the two parts of the U.S. Congress?*","美國國會由哪兩個部分組成？*","the Senate and House (of Representatives)","17","參議院與眾議院"
personal,"How many U.S. Senators are there?","美國參議員有幾位？","one hundred (100)","18","一百 (100) 位"
personal,"We elect a U.S. Senator for how many years?","我們選出的美國參議員任期幾年？","six (6)","19","六 (6) 年"
personal,"Who is one of your state's U.S. Senators now?*","列舉一名您所在州的現任美國參議員。*","Answers will vary.","20","答案因州而異。"
personal,"The House of Representatives has how many voting members?","眾議院能投票的議員人數共有幾位？","four hundred thirty-five (435)","21","四百三十五 (435) 位"
personal,"We elect a U.S. Representative for how many years?","我們選出的美國眾議員任期幾年？","two (2)","22","兩 (2) 年"
personal,"Name your U.S. Representative.","列舉一名您所在地區的美國眾議員。","Answers will vary.","23","答案因所在地區而異。"
personal,"Who does a U.S. Senator represent?","美國參議員代表誰？","all people of the state","24","該州的所有人民"
personal,"Why do some states have more Representatives than other states?","為什麼有些州的眾議員人數比其他州多？","(because of) the state's population; (because) they have more people; (because) some states have more people","25","（由於）該州的人口；（由於）該州有更多人口；（由於）有些州的人口較多"
personal,"We elect a President for how many years?","我們選出的總統任期幾年？","four (4)","26","四 (4) 年"
personal,"In what month do we vote for President?*","我們在哪一個月選總統？*","November","27","十一月"
personal,"What is the name of the President of the United States now?*","現任美國總統的名字是什麼？*","Visit uscis.gov/citizenship/testupdates for the name.","28","請參閱官方網站更新。"
personal,"What is the name of the Vice President of the United States now?","現任美國副總統的名字是什麼？","Visit uscis.gov/citizenship/testupdates for the name.","29","請參閱官方網站更新。"
personal,"If the President can no longer serve, who becomes President?","如果總統不能視事，誰成為總統？","the Vice President","30","副總統"
personal,"If both the President and the Vice President can no longer serve, who becomes President?","如果總統和副總統都不能視事，誰成為總統？","the Speaker of the House","31","眾議院議長"
personal,"Who is the Commander in Chief of the military?","誰是三軍統帥？","the President","32","總統"
personal,"Who signs bills to become laws?","誰簽署法案使之成為法律？","the President","33","總統"
personal,"Who vetoes bills?","誰否決法案？","the President","34","總統"
personal,"What does the President's Cabinet do?","總統的內閣做什麼事？","advises the President","35","顧問總統"
personal,"What are two Cabinet-level positions?","列舉兩個內閣級職位。","Secretary of Agriculture; Secretary of Commerce; Secretary of Defense; Secretary of Education; Secretary of Energy; Secretary of Health and Human Services; Secretary of Homeland Security; Secretary of Housing and Urban Development; Secretary of the Interior; Secretary of Labor; Secretary of State; Secretary of Transportation; Secretary of the Treasury; Secretary of Veterans Affairs; Attorney General; Vice President","36","農業部長；商務部長；國防部長；教育部長；能源部長；健康與人類服務部長；國土安全部長；住宅與都市發展部長；內政部長；勞工部長；國務卿；交通部長；財政部長；退伍軍人事務部長；司法部長；副總統"
personal,"What does the judicial branch do?","司法部門做什麼事？","reviews laws; explains laws; resolves disputes (disagreements); decides if a law goes against the Constitution","37","審查法律；解釋法律；解決爭端（意見不一致）；決定法律是否抵觸憲法"
personal,"What is the highest court in the United States?","美國最高的法院是什麼？","the Supreme Court","38","最高法院"
personal,"How many justices are on the Supreme Court?","最高法院有幾位大法官？","Visit uscis.gov/citizenship/testupdates for the number.","39","請參閱官方網站更新。"
personal,"Who is the Chief Justice of the United States now?","現任美國首席大法官是誰？","Visit uscis.gov/citizenship/testupdates for the name.","40","請參閱官方網站更新。"
personal,"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?","根據憲法，有些權力屬於聯邦政府。列舉一項聯邦政府的權力。","to print money; to declare war; to create an army; to make treaties","41","印製鈔票；宣戰；創立軍隊；簽訂條約"
personal,"Under our Constitution, some powers belong to the states. What is one power of the states?","根據憲法，有些權力屬於州政府。列舉一項州政府的權力。","provide schooling and education; provide protection (police); provide safety (fire departments); give a driver's license; approve zoning and land use","42","提供學校及教育；提供保護（警力）；提供安全（消防部門）；核發駕照；審核區劃與土地使用"
personal,"Who is the Governor of your state now?","您所在州的現任州長是誰？","Answers will vary.","43","答案因州而異。"
personal,"What is the capital of your state?*","您所在州的首府在哪裡？*","Answers will vary.","44","答案因州而異。"
personal,"What are the two major political parties in the United States?*","美國當前的兩大政黨是什麼？*","Democratic and Republican","45","民主黨與共和黨"
personal,"What is the political party of the President now?","現任總統所屬的政黨是什麼？","Visit uscis.gov/citizenship/testupdates for the party.","46","請參閱官方網站更新。"
personal,"What is the name of the Speaker of the House of Representatives now?","現任眾議院議長的名字是什麼？","Visit uscis.gov/citizenship/testupdates for the name.","47","請參閱官方網站更新。"
personal,"There are four amendments to the Constitution about who can vote. Describe one of them.","憲法有四條關於誰可以投票的修正案。列舉其中一條。","Citizens eighteen (18) and older (can vote).; You don't have to pay (a poll tax) to vote.; Any citizen can vote. (Women and men can vote.); A male citizen of any race (can vote).","48","年滿十八 (18) 歲及以上的公民（可以投票）；投票不需繳納（人頭稅）；任何公民都可以投票（男性與女性皆可）；任何種族的男性公民（可以投票）"
personal,"What is one responsibility that is only for United States citizens?*","列舉一項美國公民才有的責任。*","serve on a jury; vote in a federal election","49","擔任陪審員；在聯邦選舉中投票"
personal,"Name one right only for United States citizens.","列舉一項美國公民才有的權利。","vote in a federal election; run for federal office","50","在聯邦選舉中投票；競選聯邦公職"
personal,"What are two rights of everyone living in the United States?","列舉兩項居住在美國境內所有人的權利。","freedom of expression; freedom of speech; freedom of assembly; freedom to petition the government; freedom of religion; the right to bear arms","51","表達自由；言論自由；集會自由；向政府請願的自由；宗教自由；持有武器的權利"
personal,"What do we show loyalty to when we say the Pledge of Allegiance?","我們宣讀《效忠誓詞》時是向什麼表達效忠？","the United States; the flag","52","美國；國旗"
personal,"What is one promise you make when you become a United States citizen?","列舉一項在入籍成為美國公民時所下的承諾。","give up loyalty to other countries; defend the Constitution and laws of the United States; obey the laws of the United States; serve in the U.S. military (if needed); serve (do important work for) the nation (if needed); be loyal to the United States","53","放棄效忠其他國家；護衛美國憲法及法律；遵守美國法律；（必要時）為美國軍隊服務；（必要時）為國家從事重要工作；效忠美國"
personal,"How old do citizens have to be to vote for President?*","美國公民幾歲以上可以投票選總統？*","eighteen (18) and older","54","年滿十八 (18) 歲"
personal,"What are two ways that Americans can participate in their democracy?","列舉兩種美國人參與民主政治的方式。","vote; join a political party; help with a campaign; join a civic group; join a community group; give an elected official your opinion on an issue; call Senators and Representatives; publicly support or oppose an issue or policy; run for office; write to a newspaper","55","投票；加入政黨；協助競選活動；加入公民團體；加入社區團體；向民選官員提供對某項議題的意見；撥打電話給參議員及眾議員；公開支持或反對某項議題或政策；競選公職；寫信給報社"
personal,"When is the last day you can send in federal income tax forms?*","寄送聯邦所得稅申報表的截止日期是哪一天？*","April 15","56","四月十五日"
personal,"When must all men register for the Selective Service?","所有男性應在何時登記服兵役（兵役登記）？","at age eighteen (18); between eighteen (18) and twenty-six (26)","57","十八 (18) 歲時；十八 (18) 歲至二十六 (26) 歲之間"
personal,"What is one reason colonists came to America?","列舉一個殖民者當初來到美國的原因。","freedom; political liberty; religious freedom; economic opportunity; practice their religion; escape persecution","58","自由；政治自由；宗教自由；經濟機會；實踐宗教信仰；逃避迫害"
personal,"Who lived in America before the Europeans arrived?","在歐洲人來到美國之前，誰已經居住在這裡？","American Indians; Native Americans","59","美洲印第安人；美洲原住民"
personal,"What group of people was taken to America and sold as slaves?","哪一群人被帶到美國並被販賣為奴？","Africans; people from Africa","60","非洲人；來自非洲的人"
personal,"Why did the colonists fight the British?","殖民者為什麼要與英國作戰？","because of high taxes (taxation without representation); because the British army stayed in their houses (boarding, quartering); because they didn't have self-government","61","因為高額稅收（納稅卻無代表權）；因為英軍住在他們的房屋內（寄宿、留宿）；因為他們沒有自治權"
personal,"Who wrote the Declaration of Independence?","《獨立宣言》是誰寫的？","(Thomas) Jefferson","62","（湯瑪斯）傑佛遜"
personal,"When was the Declaration of Independence adopted?","《獨立宣言》是在何時通過的？","July 4, 1776","63","1776 年 7 月 4 日"
personal,"There were 13 original states. Name three.","美國最初有 13 個州。請列舉其中三個。","New Hampshire; Massachusetts; Rhode Island; Connecticut; New York; New Jersey; Pennsylvania; Delaware; Maryland; Virginia; North Carolina; South Carolina; Georgia","64","新罕布夏州；馬薩諸塞州；羅德島州；康乃狄克州；紐約州；紐澤西州；賓夕法尼亞州；德拉瓦州；馬里蘭州；維吉尼亞州；北卡羅來納州；南卡羅來納州；喬治亞州"
personal,"What happened at the Constitutional Convention?","制憲會議發生了什麼事？","The Constitution was written.; The Founding Fathers wrote the Constitution.","65","撰寫了憲法；建國元勳撰寫了憲法"
personal,"When was the Constitution written?","憲法是在何時撰寫的？","1787","66","1787 年"
personal,"The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.","《聯邦黨人文集》支持美國憲法的通過。列舉其中一名作者。","(James) Madison; (Alexander) Hamilton; (John) Jay; Publius","67","（詹姆斯）麥迪遜；（亞歷山大）漢密爾頓；（約翰）傑伊；普布利烏斯"
personal,"What is one thing Benjamin Franklin is famous for?","列舉一項班傑明·富蘭克林勳名遠播的事蹟。","U.S. diplomat; oldest member of the Constitutional Convention; first Postmaster General of the United States; writer of ""Poor Richard's Almanac""; started the first free libraries","68","美國外交官；制憲會議最年長的成員；美國第一任郵政總局局長；《窮理查年鑑》的作者；創辦了第一批免費圖書館"
personal,"Who is the ""Father of Our Country""?","誰是「國父」？","(George) Washington","69","（喬治）華盛頓"
personal,"Who was the first President?*","誰是第一任總統？*","(George) Washington","70","（喬治）華盛頓"
personal,"What territory did the United States buy from France in 1803?","1803 年美國向法國購買了哪一塊領土？","the Louisiana Territory; Louisiana","71","路易斯安那領地；路易斯安那"
personal,"Name one war fought by the United States in the 1800s.","列舉一場美國在 1800 年代參加的戰爭。","War of 1812; Mexican-American War; Civil War; Spanish-American War","72","1812 年戰爭；美墨戰爭；南北戰爭；美西戰爭"
personal,"Name the U.S. war between the North and the South.","請稱呼這場美國南方與北方之間的戰爭。","the Civil War; the War between the States","73","南北戰爭；州際戰爭"
personal,"Name one problem that led to the Civil War.","列舉一個導致南北戰爭的問題。","slavery; economic reasons; states' rights","74","奴隸制；經濟原因；州權"
personal,"What was one important thing that Abraham Lincoln did?*","列舉一項亞伯拉罕·林肯的重要事蹟。*","freed the slaves (Emancipation Proclamation); saved (or preserved) the Union; led the United States during the Civil War","75","解放奴隸（解放宣言）；拯救（或維護）聯邦；在南北戰爭期間領導美國"
personal,"What did the Emancipation Proclamation do?","《解放宣言》的作用是什麼？","freed the slaves; freed slaves in the Confederacy; freed slaves in the Confederate states; freed slaves in most Southern states","76","解放了奴隸；解放了盟聯邦的奴隸；解放了盟聯邦各州的奴隸；解放了南方大部分州的奴隸"
personal,"What did Susan B. Anthony do?","蘇珊·B·安東尼做了什麼？","fought for women's rights; fought for civil rights","77","為女性權利奮鬥；為民權奮鬥"
personal,"Name one war fought by the United States in the 1900s.*","列舉一場美國在 1900 年代參加的戰爭。*","World War I; World War II; Korean War; Vietnam War; (Persian) Gulf War","78","第一次世界大戰；第二次世界大戰；韓戰；越戰；（波斯灣）戰爭"
personal,"Who was President during World War I?","第一次世界大戰期間的總統是誰？","(Woodrow) Wilson","79","（伍德羅）威爾遜"
personal,"Who was President during the Great Depression and World War II?","經濟大蕭條和第二次世界大戰期間的總統是誰？","(Franklin) Roosevelt","80","（富蘭克林）羅斯福"
personal,"Who did the United States fight in World War II?","美國在第二次世界大戰與哪些國家作戰？","Japan, Germany, and Italy","81","日本、德國和義大利"
personal,"Before he was President, Eisenhower was a general. What war was he in?","艾森豪在當總統之前是位將軍。他曾參加哪一場戰爭？","World War II","82","第二次世界大戰"
personal,"During the Cold War, what was the main concern of the United States?","在冷戰期間，美國的主要憂慮是什麼？","Communism","83","共產主義"
personal,"What movement tried to end racial discrimination?","哪項運動試圖結束種族歧視？","civil rights (movement)","84","民權運動"
personal,"What did Martin Luther King, Jr. do?*","馬丁·路德·金恩做了什麼？*","fought for civil rights; worked for equality for all Americans","85","為民權奮鬥；為所有美國人的平等而努力"
personal,"What major event happened on September 11, 2001, in the United States?","2001 年 9 月 11 日在美國發生了什麼重大事件？","Terrorists attacked the United States.","86","恐怖份子攻擊美國。"
personal,"Name one American Indian tribe in the United States.","列舉一個美國印第安人部落。","Cherokee; Navajo; Sioux; Chippewa; Choctaw; Pueblo; Apache; Iroquois; Creek; Blackfeet; Seminole; Cheyenne; Arawak; Shawnee; Mohegan; Huron; Oneida; Lakota; Crow; Teton; Hopi; Inuit","87","切羅基；納瓦霍；蘇；奇普瓦；喬克托；普韋布洛；阿帕契；易洛魁；克里克；黑腳；塞米諾爾；夏延；阿拉瓦克；肖尼；莫希干；休倫；奧奈達；拉科塔；克羅；泰頓；霍皮；因紐特"
personal,"Name one of the two longest rivers in the United States.","列舉美國最長的兩條河流之一。","Missouri (River); Mississippi (River)","88","密蘇里河；密西西比河"
personal,"What ocean is on the West Coast of the United States?","美國西岸瀕臨什麼海洋？","Pacific (Ocean)","89","太平洋"
personal,"What ocean is on the East Coast of the United States?","美國東岸瀕臨什麼海洋？","Atlantic (Ocean)","90","大西洋"
personal,"Name one U.S. territory.","列舉一個美國領地。","Puerto Rico; U.S. Virgin Islands; American Samoa; Northern Mariana Islands; Guam","91","波多黎各；美屬維京群島；美屬薩摩亞；北馬里亞納群島；關島"
personal,"Name one state that borders Canada.","列舉一個與加拿大接壤的州。","Maine; New Hampshire; Vermont; New York; Pennsylvania; Ohio; Michigan; Minnesota; North Dakota; Montana; Idaho; Washington; Alaska","92","緬因州；新罕布夏州；佛蒙特州；紐約州；賓夕法尼亞州；俄亥俄州；密西根州；明尼蘇達州；北達科他州；蒙大拿州；愛達荷州；華盛頓州；阿拉斯加州"
personal,"Name one state that borders Mexico.","列舉一個與墨西哥接壤的州。","California; Arizona; New Mexico; Texas","93","加利福尼亞州；亞利桑那州；新墨西哥州；德克薩斯州"
personal,"What is the capital of the United States?*","美國的首都在哪裡？*","Washington, D.C.","94","華盛頓哥倫比亞特區"
personal,"Where is the Statue of Liberty?*","自由女神像在哪裡？*","New York (Harbor); Liberty Island; [Also acceptable are New Jersey, near New York City, and on the Hudson (River).]","95","紐約港；自由島；[紐澤西州、紐約市附近、哈德遜河上皆可]"
personal,"Why does the flag have 13 stripes?","國旗上為什麼有 13 條橫條？","because there were 13 original colonies; because the stripes represent the original colonies","96","因為當初有 13 個殖民地；因為橫條代表最初的殖民地"
personal,"Why does the flag have 50 stars?*","國旗上為什麼有 50 顆星？*","because there is one star for each state; because each star represents a state; because there are 50 states","97","因為每一顆星代表一個州；因為每一顆星象徵一個州；因為共有 50 個州"
personal,"What is the name of the national anthem?","美國國歌的名字是什麼？","The Star-Spangled Banner","98","星條旗之歌"
personal,"When do we celebrate Independence Day?*","我們在哪一天慶祝獨立紀念日？*","July 4","99","7 月 4 日"
personal,"Name two national U.S. holidays.","列舉兩個美國的國定假日。","New Year’s Day; Martin Luther King, Jr. Day; Presidents’ Day; Memorial Day; Independence Day; Labor Day; Columbus Day; Veterans Day; Thanksgiving; Christmas","100","新年；馬丁·路德·金恩紀念日；總統節；陣亡將士紀念日；獨立紀念日；勞工節；哥倫布日；退伍軍人節；感恩節；聖誕節"
part9,"The United States has 50 states.","美國有 50 個州。",,,
part9,"Washington, D.C. is the capital.","華盛頓特區是首都。",,,
part9,"The flag is red, white, and blue.","國旗是紅、白、藍三色的。",,,
part9,"The flag has red and white stripes.","國旗有紅色和白色的條紋。",,,
part9,"Flag Day is in June.","國旗日是在六月。",,,
part9,"New York City was the first capital.","紐約市是第一個首都。",,,
part9,"California has the most people.","加利福尼亞州人口最多。",,,
part9,"Canada is north of the United States.","加拿大在美國以北。",,,
part9,"Alaska is the largest state.","阿拉斯加州是最大的州。",,,
part9,"Mexico is south of the United States.","墨西哥在美國以南。",,,
part9,"American Indians live here first.","美洲印第安人最先居住在這裡。",,,
part9,"They want to live in a free country.","他們想住在一個自由的國家。",,,
part9,"People come here to be free.","人們來到這裡為了獲得自由。",,,
part9,"Columbus Day is in October.","哥倫布日是在十月。",,,
part9,"Thanksgiving is in November.","感恩節是在十一月。",,,
part9,"Delaware was the first state.","德拉瓦州是第一個州。",,,
part9,"Washington is the father of our country.","華盛頓是我們的國父。",,,
part9,"Washington was the first president.","華盛頓是第一任總統。",,,
part9,"Washington is on the dollar bill.","華盛頓在美鈔（一元紙幣）上。",,,
part9,"Adams was the second president.","亞當斯是第二任總統。",,,
part9,"George Washington is the Father of Our country.","喬治·華盛頓是我們的國父。",,,
part9,"Lincoln was president during the Civil War.","林肯是南北戰爭時期的總統。",,,
part9,"Presidents' Day is in February.","總統日是在二月。",,,
part9,"Memorial Day is in May.","陣亡將士紀念日是在五月。",,,
part9,"The People elect congress.","人民選舉國會。",,,
part9,"We have 100 senators.","我們有 100 名參議員。",,,
part9,"Congress meets in Washington, D.C.","國會在華盛頓特區集會。",,,
part9,"We vote for president in November.","我們在十一月投票選舉總統。",,,
part9,"The president lives in the White House.","總統住在白宮。",,,
part9,"The White House is in Washington, D.C.","白宮在華盛頓特區。",,,
part9,"The president lives in the White House.","總統住在白宮。",,,
part9,"Labor Day is in September.","勞動節是在九月。",,,
part9,"We have to pay taxes.","我們必須納稅。",,,
part9,"Congress makes laws.","國會制定法律。",,,
part9,"Citizens can vote.","公民可以投票。",,,
part9,"They want to vote.","他們想要投票。",,,
part9,"Independence Day is in July.","獨立紀念日是在七月。",,,

glossary,"How many states are in the United States?","美國有多少個州？",,,
glossary,"What is the capital of the United States?","美國的首都在哪裡？",,,
glossary,"What are the colors of the flag?","國旗是什麼顏色的？",,,
glossary,"What is on the American flag?","美國國旗上有什麼？",,,
glossary,"When is Flag Day?","國旗日是什麼時候？",,,
glossary,"What was the first U.S. capital?","美國的第一個首都在哪裡？",,,
glossary,"What state has the most people?","哪個州的人口最多？",,,
glossary,"What country is north of the United States?","哪個國家在美國北面？",,,
glossary,"What is the largest state?","最大的州是哪個？",,,
glossary,"What country is south of the United States?","哪個國家在美國南面？",,,
glossary,"Who lived here first?","誰最早居住在這裡？",,,
glossary,"Why do people want to be citizens?","為什麼人們想成為公民？",,,
glossary,"Why do people come to America?","人們為什麼來到美國？",,,
glossary,"When is Columbus Day?","哥倫布日是什麼時候？",,,
glossary,"When is Thanksgiving?","感恩節是什麼時候？",,,
glossary,"What was the first U.S. state?","美國的第一個州是哪個？",,,
glossary,"Who is the father of our country?","誰是我們的國父？",,,
glossary,"Who was the first president?","誰是第一任總統？",,,
glossary,"What president is on the dollar bill?","哪位總統在美鈔（一元）上？",,,
glossary,"Who was the second president?","誰是第二任總統？",,,
glossary,"Who was George Washington?","喬治·華盛頓是誰？",,,
glossary,"Who was Abraham Lincoln?","亞伯拉罕·林肯是誰？",,,
glossary,"When is Presidents' Day?","總統日是什麼時候？",,,
glossary,"When is Memorial Day?","陣亡將士紀念日是什麼時候？",,,
glossary,"Who elects Congress?","誰選舉國會？",,,
glossary,"How many senators do we have?","我們有多少位參議員？",,,
glossary,"Where does the Congress meet?","國會在哪裡集會？",,,
glossary,"When do we vote for president?","我們什麼時候投票選舉總統？",,,
glossary,"Where does the president live?","總統住在哪裡？",,,
glossary,"Where is the White House?","白宮在哪裡？",,,
glossary,"Who lives in the White House?","誰住在白宮裡？",,,
glossary,"When is Labor Day?","勞動節是什麼時候？",,,
glossary,"What do we have to pay to the government?","我們必須向政府繳納什麼？",,,
glossary,"What does Congress do?","國會是做什麼的？",,,
glossary,"Who can vote?","誰可以投票？",,,
glossary,"Why do people want to be citizens?","為什麼人們想成為公民？",,,
glossary,"When is Independence Day?","獨立紀念日是什麼時候？",,,
